category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type
adjective,color,blue,Color of clear sky,blu,bloo,,,,1,adjective,,The ocean is blue today.,L'oceano è blu oggi.,"azzurro, celeste",
adjective,color,light blue,Pale blue color,azzurro,ahd-DZOOR-roh,singular,,masculine,1,adjective,,He bought a light blue shirt.,Ha comprato una camicia azzurra.,"blu, celeste",
adjective,color,light blue,Pale blue color,azzurra,ahd-DZOOR-rah,singular,,feminine,1,adjective,,She has a light blue skirt.,Lei ha una gonna azzurra.,"blu, celeste",
adjective,color,red,Color of blood or fire,rosso,ROHS-soh,singular,,masculine,1,adjective,,The car is red.,La macchina è rossa.,"scarlatto, cremisi",
adjective,color,red,Color of blood or fire,rossa,ROHS-sah,singular,,feminine,1,adjective,,She wears a red dress.,Lei indossa un vestito rosso.,"scarlatto, cremisi",
adjective,color,green,Color of grass or emeralds,verde,VEHR-deh,singular,,,1,adjective,,The park is very green.,Il parco è molto verde.,"smeraldo, oliva",
adjective,color,yellow,Color of the sun or gold,giallo,JAH-loh,singular,,masculine,1,adjective,,The taxi is yellow.,Il taxi è giallo.,"dorato, ocra",
adjective,color,yellow,Color of the sun or gold,gialla,JAH-lah,singular,,feminine,1,adjective,,She picked a yellow flower.,Ha raccolto un fiore giallo.,"dorata, ocra",
adjective,color,black,The darkest color,nero,NEH-roh,singular,,masculine,1,adjective,,His shoes are black.,Le sue scarpe sono nere.,"scuro, carbone",
adjective,color,black,The darkest color,nera,NEH-rah,singular,,feminine,1,adjective,,The cat is black.,La gatta è nera.,"scura, carbone",
adjective,color,white,Color of milk or snow,bianco,BYAHN-koh,singular,,masculine,1,adjective,,He wore a white hat.,Indossava un cappello bianco.,"candido, latteo",
adjective,color,white,Color of milk or snow,bianca,BYAHN-kah,singular,,feminine,1,adjective,,She chose a white shirt.,Ha scelto una camicia bianca.,"candida, lattea",
adjective,color,purple,Color between red and blue,viola,VYOH-lah,singular,,,2,adjective,,Her scarf is purple.,La sua sciarpa è viola.,"porpora, lilla",
adjective,color,pink,Pale red color,rosa,ROH-zah,singular,,,2,adjective,,She loves pink roses.,Lei ama le rose rosa.,"rosato, fucsia",
